origination,city,km distance,latitude,longitude,num reviews,price,rating,Type
"Afton, IA",Urbandale,74.6052286219836,41.6427893,-93.8333251,1,-1,5.0,Dental
"Afton, IA",Des Moines,78.09504442848883,41.585440000000006,-93.62501999999999,6,2,3.5,Convenience Stores
"Afton, IA",Des Moines,78.17228302886163,41.58461387468,-93.62204975118479,42,2,3.5,Convenience Stores
"Afton, IA",Des Moines,78.20850590913291,41.58631,-93.6241,1,-1,4.0,Convenience Stores
"Afton, IA",Humeston,61.4660389294191,40.857606,-93.4995549,1,-1,5.0,Convenience Stores
"Afton, IA",Clive,72.35897316685964,41.60107,-93.78218000000001,7,2,4.0,Convenience Stores
"Afton, IA",Osceola,34.0478038741046,41.02729,-93.789346,3,1,3.0,Convenience Stores
"Afton, IA",Des Moines,79.28001820517514,41.590633301355,-93.610725445747,17,1,4.5,Convenience Stores
"Afton, IA",Des Moines,77.63290201977122,41.58683,-93.63655,5,1,4.5,Convenience Stores
"Afton, IA",Lamoni,51.64974146727433,40.623048499999996,-93.8965803,5,-1,3.5,Convenience Stores
"Afton, IA",West Des Moines,72.98826251956905,41.5985553908381,-93.76112081955308,65,2,4.0,Convenience Stores
"Afton, IA",De Soto,58.5971793931203,41.5376482,-94.01254509999998,2,2,2.0,Convenience Stores
"Afton, IA",Des Moines,77.31992372058187,41.587579999999996,-93.64413,172,2,4.0,Convenience Stores
"Afton, IA",Clive,75.50739424673681,41.614331,-93.73715899999999,14,2,4.5,Convenience Stores
"Afton, IA",Urbandale,75.57934528552767,41.621624,-93.7556,14,2,4.0,Convenience Stores
"Afton, IA",West Des Moines,70.43332703933572,41.584967999999996,-93.791191,2,-1,4.0,Convenience Stores
"Afton, IA",Des Moines,77.67472547090587,41.600066999999996,-93.65985490000001,6,1,2.5,Convenience Stores
"Afton, IA",Des Moines,73.04058626913138,41.526717,-93.625031,2,2,4.0,Convenience Stores
"Afton, IA",West Des Moines,70.21562662996733,41.5892921,-93.8078504,5,2,3.0,Convenience Stores
"Afton, IA",Norwalk,65.6176062577271,41.4752936,-93.68190609999999,1,2,4.0,Convenience Stores
"Afton, IA",Des Moines,72.59288506336246,41.526790000000005,-93.63333,1,-1,4.0,Convenience Stores
"Agency, IA",Ottumwa,9.4335761538477,41.00996,-92.41839,2,-1,5.0,Pharmacy
"Agency, IA",Ottumwa,9.18243310333905,41.0184799,-92.41298,1,-1,2.0,Pharmacy
"Agency, IA",Oskaloosa,44.07848962481473,41.2966243,-92.6517631,2,2,5.0,Pharmacy
"Agency, IA",Albia,42.483375159807856,41.016779,-92.812985,1,-1,5.0,Pharmacy
"Agency, IA",Knoxville,76.10758883179929,41.32102584838871,-93.1078720092773,1,-1,5.0,Pharmacy
"Agency, IA",Mount Pleasant,63.2425075497944,40.9659,-91.55513,1,1,3.0,Pharmacy
"Agency, IA",Ottumwa,8.966613116719298,41.016455799999996,-92.4108879,1,2,5.0,Optometrist
"Agency, IA",Albia,41.64967053245799,41.0447696596384,-92.7966447919607,1,-1,1.0,Optometrist
"Agency, IA",Washington,61.96481419593761,41.293876647949205,-91.6814727783203,1,-1,5.0,Optometrist
"Agency, IA",Centerville,55.86714219598665,40.733363,-92.873098,1,-1,5.0,Optometrist
"Agency, IA",Riverside,83.79101485235716,41.48757408643979,-91.5468949824572,1,-1,4.0,Optometrist
"Agency, IA",Washington,61.39846927952788,41.297145843505895,-91.6921768188477,1,-1,1.0,Optometrist
"Agency, IA",Agency,0.6764723421419805,41.002339,-92.310709,2,-1,4.5,Gas Stations
"Agency, IA",Fairfield,27.507044090443426,41.006429600000004,-91.97984840000001,2,-1,4.5,Gas Stations
"Agency, IA",Eddyville,32.00543543982539,41.1538840324077,-92.6273371522425,1,1,3.0,Gas Stations
"Agency, IA",Ottumwa,11.378790029649615,41.034965899999996,-92.43315559999999,2,-1,3.0,Gas Stations
"Agency, IA",Fairfield,28.84458794340244,40.9886932373047,-91.9636383056641,2,2,4.5,Gas Stations
"Agency, IA",Agency,5.732638514311051,40.994890000000005,-92.23913,1,-1,5.0,Gas Stations
"Agency, IA",Hedrick,20.043848963434066,41.177065999999996,-92.307183,2,-1,2.5,Gas Stations
"Agency, IA",Fairfield,28.741566937493364,41.011164933443105,-91.9651398807764,2,-1,4.0,Gas Stations
"Agency, IA",Fairfield,28.516244985742286,41.012797,-91.96821899999999,6,1,5.0,Gas Stations
"Agency, IA",Ottumwa,11.226757071600229,41.01905945958521,-92.4378921613015,3,-1,4.0,Dental
"Agency, IA",Fairfield,29.03440232927102,41.0053787,-91.9615402,1,-1,5.0,Dental
"Agency, IA",Ottumwa,8.25359931848232,41.027585430093204,-92.39690043032171,3,-1,2.5,Dental
"Agency, IA",Ottumwa,8.367491547482668,41.02792,-92.3978,1,-1,1.0,Dental
"Agency, IA",Oskaloosa,41.82243229999443,41.288094,-92.62335,2,-1,3.0,Dental
"Agency, IA",Agency,5.732638514311051,40.994890000000005,-92.23913,1,-1,5.0,Convenience Stores
"Agency, IA",Fairfield,28.84458794340244,40.9886932373047,-91.9636383056641,2,2,4.5,Convenience Stores
"Agency, IA",Ottumwa,10.56466978665074,41.00708,-92.43257,1,-1,3.0,Convenience Stores
"Agency, IA",Fairfield,28.516244985742286,41.012797,-91.96821899999999,6,1,5.0,Convenience Stores
