,city name,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,log(total jobs),x,y
57993,"Perry, IA","Sergeant Bluff, IA",2,2,0,0,1,3,0,2,2,4,2.386294361119891,-96.41133141767502,42.385958868480294
58025,"Perry, IA","West Burlington, IA",1,3,0,0,1,3,0,3,1,4,2.386294361119891,-91.198066,40.892021
57961,"Perry, IA","Muscatine, IA",1,3,0,2,0,2,0,3,1,4,2.386294361119891,-91.0492203780419,41.404839277348394
57934,"Perry, IA","Iowa Falls, IA",0,4,0,0,3,1,3,0,1,4,2.386294361119891,-93.263651,42.528683
58023,"Perry, IA","Webster City, IA",2,1,1,1,1,2,1,2,1,4,2.386294361119891,-93.858075,42.471802
57997,"Perry, IA","Sioux Center, IA",0,4,0,2,0,2,1,1,2,4,2.386294361119891,-96.169952,43.084364
57881,"Perry, IA","Clinton, IA",1,2,1,1,2,1,1,0,3,4,2.386294361119891,-90.223612,41.877235
57890,"Perry, IA","Creston, IA",2,1,1,0,2,2,2,2,0,4,2.386294361119891,-94.350072,41.071000000000005
57894,"Perry, IA","Dawson, IA",2,2,0,1,0,3,2,1,1,4,2.386294361119891,-94.250299,41.863082999999996
57901,"Perry, IA","Dubuque, IA",1,2,1,0,0,4,3,1,0,4,2.386294361119891,-90.694238,42.51659
57995,"Perry, IA","Shenandoah, IA",0,2,1,1,2,0,0,1,2,3,2.09861228866811,-95.38534,40.74283
58011,"Perry, IA","University Heights, IA",2,1,0,0,2,1,2,0,1,3,2.09861228866811,-91.588263,41.656998
57981,"Perry, IA","Reasnor, IA",0,3,0,0,3,0,0,0,3,3,2.09861228866811,-92.986305,41.508261
57979,"Perry, IA","Polk City, IA",0,2,1,0,1,2,0,3,0,3,2.09861228866811,-93.74127899999999,41.750083
57883,"Perry, IA","Colfax, IA",1,2,0,0,1,2,0,2,1,3,2.09861228866811,-93.246641,41.681291
57967,"Perry, IA","Ogden, IA",0,0,3,0,2,1,1,2,0,3,2.09861228866811,-94.047648,42.063525
57987,"Perry, IA","Robins, IA",0,2,1,0,2,1,1,2,0,3,2.09861228866811,-91.57915799999999,42.036018
57873,"Perry, IA","Carlisle, IA",1,1,1,0,3,0,1,2,0,3,2.09861228866811,-93.575721,41.511617
58028,"Perry, IA","Willey, IA",2,1,0,0,2,1,1,1,1,3,2.09861228866811,-94.78331999999999,42.007447
57898,"Perry, IA","Denison, IA",0,2,1,0,0,3,1,1,1,3,2.09861228866811,-95.285619,42.02558
58000,"Perry, IA","Spencer, IA",1,1,1,1,0,2,2,0,1,3,2.09861228866811,-95.14468699999999,43.141337
57880,"Perry, IA","Chariton, IA",1,2,0,0,1,2,1,0,2,3,2.09861228866811,-93.303393,41.032634
57982,"Perry, IA","Red Oak, IA",1,2,0,0,2,1,1,1,1,3,2.09861228866811,-95.222696,40.998269
58004,"Perry, IA","Stanhope, IA",1,1,1,1,0,2,0,1,2,3,2.09861228866811,-93.81572899999999,42.209596999999995
57912,"Perry, IA","Fairfield, IA",0,3,0,0,1,2,1,1,1,3,2.09861228866811,-91.946663,40.995692999999996
58010,"Perry, IA","Toledo, IA",0,2,1,0,1,2,1,1,1,3,2.09861228866811,-92.63461099999999,41.996626
58019,"Perry, IA","Washington, IA",2,1,0,1,0,2,1,1,1,3,2.09861228866811,-91.691704,41.297399
57851,"Perry, IA","Anita, IA",1,1,0,2,0,0,0,2,0,2,1.6931471805599454,-94.70069699999999,41.417581
57991,"Perry, IA","Sageville, IA",1,1,0,2,0,0,0,0,2,2,1.6931471805599454,-90.663022,42.543420999999995
57956,"Perry, IA","Melcher-Dallas, IA",2,0,0,0,1,1,1,1,0,2,1.6931471805599454,-93.185116,41.248225999999995
57854,"Perry, IA","Asbury, IA",0,2,0,0,1,1,0,2,0,2,1.6931471805599454,-90.78003799999999,42.529343
57918,"Perry, IA","Goldfield, IA",1,1,0,0,1,1,1,1,0,2,1.6931471805599454,-93.833676,42.716877
57875,"Perry, IA","Carter Lake, IA",0,2,0,0,0,2,0,2,0,2,1.6931471805599454,-95.87276441176469,41.290057647058795
