,City,destination,km distance,label,num reviews,rating
151,"Agency, IA"," Fairfield, IA ",27.61199172851957,convenience stores,5,3.5
152,"Agency, IA"," Ottumwa, IA ",8.790242808979857,restaurant,1,5.0
153,"Agency, IA"," Ottumwa, IA ",8.204727174561272,restaurant,16,3.5
154,"Agency, IA"," Ottumwa, IA ",8.566613472616702,restaurant,1,5.0
155,"Agency, IA"," Ottumwa, IA ",7.929119939095266,restaurant,7,4.5
156,"Agency, IA"," Ottumwa, IA ",11.118076905397546,restaurant,1,4.0
157,"Agency, IA"," Ottumwa, IA ",10.43119114891026,restaurant,17,3.5
158,"Agency, IA"," Ottumwa, IA ",8.490993628135673,restaurant,8,4.5
159,"Agency, IA"," Ottumwa, IA ",8.610400286874773,restaurant,2,5.0
160,"Agency, IA"," Ottumwa, IA ",8.580118035733646,restaurant,2,3.0
161,"Agency, IA"," Ottumwa, IA ",8.418293691073547,restaurant,2,3.0
162,"Agency, IA"," Ottumwa, IA ",8.733357328857549,restaurant,5,2.0
163,"Agency, IA"," Ottumwa, IA ",8.034006596929236,restaurant,1,5.0
164,"Ainsworth, IA"," Old, IA ",17.39968967965961,gas stations,1,5.0
165,"Ainsworth, IA"," Mount Pleasant, IA ",34.28181936701732,gas stations,4,3.5
166,"Ainsworth, IA"," Hills, IA ",29.38858835410953,gas stations,3,4.5
167,"Ainsworth, IA"," Kalona, IA ",25.24170574067296,gas stations,1,1.0
168,"Ainsworth, IA"," West Liberty, IA ",40.3556325048601,gas stations,3,2.5
169,"Ainsworth, IA"," Kalona, IA ",25.24170574067296,convenience stores,1,1.0
170,"Ainsworth, IA"," Iowa City, IA ",41.54104080040913,convenience stores,64,4.5
171,"Ainsworth, IA"," Fairfield, IA ",47.964943004060935,convenience stores,2,4.5
172,"Ainsworth, IA"," Kalona, IA ",24.896304062174462,convenience stores,1,5.0
173,"Ainsworth, IA"," Muscatine, IA ",48.5293729024564,convenience stores,3,4.5
174,"Ainsworth, IA"," Iowa City, IA ",41.048772762798784,convenience stores,2,3.0
175,"Ainsworth, IA"," Mount Pleasant, IA ",36.091057853794545,convenience stores,4,4.5
176,"Ainsworth, IA"," Muscatine, IA ",44.994513457122075,convenience stores,1,5.0
177,"Ainsworth, IA"," Fairfield, IA ",46.39305564942425,convenience stores,6,5.0
178,"Ainsworth, IA"," Iowa City, IA ",41.12777137287298,convenience stores,5,4.0
179,"Ainsworth, IA"," Coralville, IA ",42.10093143156271,convenience stores,10,2.0
180,"Ainsworth, IA"," Iowa City, IA ",39.3402035906836,convenience stores,58,4.0
181,"Ainsworth, IA"," Fairfield, IA ",47.59251701942605,convenience stores,2,4.5
182,"Ainsworth, IA"," Coralville, IA ",42.77256024859869,convenience stores,32,4.5
183,"Ainsworth, IA"," Fairfield, IA ",47.639097083797395,convenience stores,5,3.5
184,"Ainsworth, IA"," Iowa City, IA ",40.08823457031449,convenience stores,4,4.0
185,"Ainsworth, IA"," Tipton, IA ",54.03440718746366,convenience stores,4,3.5
186,"Ainsworth, IA"," Walcott, IA ",74.01800822702974,convenience stores,148,4.0
187,"Ainsworth, IA"," Mount Pleasant, IA ",36.03884996539952,convenience stores,2,3.0
188,"Ainsworth, IA"," Coralville, IA ",43.651695277921746,convenience stores,28,3.5
189,"Ainsworth, IA"," Washington, IA ",11.476176662644107,restaurant,39,4.5
190,"Ainsworth, IA"," Columbus Junction, IA ",16.23607069268916,restaurant,25,5.0
191,"Ainsworth, IA"," Kalona, IA ",21.88878201308765,restaurant,2,4.5
192,"Ainsworth, IA"," Kalona, IA ",24.97241019208139,restaurant,70,4.5
193,"Ainsworth, IA"," Conesville, IA ",16.95229282571526,restaurant,3,3.0
194,"Ainsworth, IA"," Columbus Junction, IA ",15.540206237684954,restaurant,1,3.0
195,"Ainsworth, IA"," Washington, IA ",11.60060823626958,restaurant,12,4.0
196,"Ainsworth, IA"," Kalona, IA ",24.92306096013072,restaurant,33,4.0
197,"Ainsworth, IA"," Washington, IA ",11.647963176837992,restaurant,10,4.0
198,"Ainsworth, IA"," Columbus Junction, IA ",16.236079866464404,restaurant,5,4.5
199,"Ainsworth, IA"," Washington, IA ",9.90597736856068,restaurant,2,4.5
200,"Ainsworth, IA"," Riverside, IA ",23.27212390935704,restaurant,4,4.5
201,"Ainsworth, IA"," Washington, IA ",11.542217975457064,restaurant,9,4.5
202,"Ainsworth, IA"," Yarmouth, IA ",35.206448799324704,restaurant,1,5.0
203,"Ainsworth, IA"," Lone Tree, IA ",24.427019772186874,restaurant,1,4.0
204,"Ainsworth, IA"," Columbus Junction, IA ",16.20933652266623,restaurant,3,4.5
205,"Ainsworth, IA"," Washington, IA ",12.638164446738912,restaurant,15,3.0
206,"Ainsworth, IA"," Columbus Junction, IA ",16.220435233147438,restaurant,3,4.5
207,"Ainsworth, IA"," Mediapolis, IA ",45.36710084352903,restaurant,3,4.5
208,"Ainsworth, IA"," Washington, IA ",11.456192354973266,restaurant,5,3.0
209,"Ainsworth, IA"," Washington, IA ",10.610429638190796,optometrist,1,5.0
210,"Ainsworth, IA"," Iowa City, IA ",41.202845555795996,optometrist,16,5.0
211,"Ainsworth, IA"," Washington, IA ",11.52609813178575,optometrist,1,1.0
212,"Ainsworth, IA"," Riverside, IA ",21.94991432183757,optometrist,1,4.0
213,"Ainsworth, IA"," Iowa City, IA ",39.804349547856006,optometrist,2,5.0
214,"Ainsworth, IA"," Muscatine, IA ",44.54535386665364,optometrist,2,5.0
215,"Ainsworth, IA"," Coralville, IA ",45.57560853969846,optometrist,2,5.0
216,"Ainsworth, IA"," New London, IA ",42.51600778992261,optometrist,2,5.0
217,"Ainsworth, IA"," Coralville, IA ",44.727966959320796,optometrist,1,5.0
218,"Ainsworth, IA"," Iowa City, IA ",39.27033486244975,optometrist,3,3.5
219,"Ainsworth, IA"," Coralville, IA ",43.714755264013355,optometrist,3,3.5
220,"Ainsworth, IA"," North Liberty, IA ",51.28951353907529,optometrist,1,5.0
221,"Ainsworth, IA"," Iowa City, IA ",41.06405801788279,optometrist,5,2.0
222,"Ainsworth, IA"," Iowa City, IA ",40.19824754305365,optometrist,3,2.0
223,"Ainsworth, IA"," Muscatine, IA ",44.5457236627332,optometrist,1,1.0
224,"Ainsworth, IA"," Coralville, IA ",44.75532448882661,optometrist,2,2.5
225,"Ainsworth, IA"," Burlington, IA ",64.83256711851178,optometrist,2,4.5
226,"Ainsworth, IA"," Coralville, IA ",45.22293185524955,optometrist,1,5.0
227,"Ainsworth, IA"," Muscatine, IA ",46.896407376202745,optometrist,1,1.0
228,"Ainsworth, IA"," Marengo, IA ",71.0448387080888,optometrist,1,5.0
229,"Ainsworth, IA"," Coralville, IA ",42.10093143156271,pharmacy,10,2.0
230,"Ainsworth, IA"," Iowa City, IA ",41.08698313393599,pharmacy,7,3.0
231,"Ainsworth, IA"," Iowa City, IA ",40.22387808091384,pharmacy,4,3.5
232,"Ainsworth, IA"," Iowa City, IA ",40.28708757658148,pharmacy,2,4.0
233,"Ainsworth, IA"," Iowa City, IA ",41.99915482658748,pharmacy,2,4.5
234,"Ainsworth, IA"," Muscatine, IA ",47.02998745997129,pharmacy,4,3.5
