,City,Capacity,Lat,Lon
251,"Le Mars, IA",438,42.793065000000006,-96.16511700000001
252,"Leclaire, IA",68,,
253,"Leland, IA",12,43.356881,-93.617144
254,"Lemars, IA",12,,
255,"Lenox, IA",194,40.899414,-94.556373
256,"Leon, IA",48,40.732578000000004,-93.78664
257,"Lester, IA",12,43.500414532255796,-96.3296599776972
258,"Letts, IA",50,,
259,"Lewis, IA",12,41.317427,-95.184148
260,"Lidderdale, IA",12,42.107209000000005,-94.783805
261,"Lime Springs, IA",60,43.5005266754198,-92.19920642646686
262,"Lisbon, IA",199,41.893889,-91.366055
263,"Little Cedar, IA",12,,
264,"Little Rock, IA",24,43.499965793304796,-95.83170419852041
265,"Logan, IA",100,41.569054,-95.774906
266,"Lone Tree, IA",20,41.510328,-91.36768000000001
267,"Long Grove, IA",34,41.702907,-90.54731899999999
268,"Lorimor, IA",12,41.156762,-94.014189
269,"Lowden, IA",84,41.837002000000005,-90.898593
270,"Luana, IA",12,43.088604,-91.488864
271,"Lucas, IA",12,,
272,"Luzerne, IA",24,,
273,"Lynnville, IA",70,41.601411,-92.757068
274,"Madrid, IA",91,41.863469,-93.776167
275,"Manchester, IA",221,42.487628,-91.453827
276,"Manilla, IA",41,41.907214,-95.231255
277,"Manly, IA",144,43.276775,-93.203389
278,"Manning, IA",132,41.863374,-95.092861
279,"Manson, IA",37,42.517059,-94.560532
280,"Mapleton, IA",37,42.157445,-95.792508
281,"Maquoketa, IA",502,42.032822,-90.665261
282,"Marcus, IA",17,42.699818,-95.86029
283,"Marion, IA",1753,42.048774,-91.753962
284,"Marshalltown, IA",1173,42.011926,-92.91238100000001
285,"Martensdale, IA",66,,
286,"Mason City, IA",1587,43.097491,-93.260818
287,"Maurice, IA",8,43.011738,-96.195093
288,"Maxwell, IA",66,41.863104,-93.347933
289,"Mc Gregor, IA",38,,
290,"Mccallsburg, IA",50,,
291,"Mechanicsville, IA",50,41.859743,-91.25909
292,"Mediapolis, IA",150,40.993396000000004,-91.169953
293,"Melcher, IA",12,,
294,"Menlo, IA",16,,
295,"Merrill, IA",12,42.749596999999994,-96.331035
296,"Milford, IA",226,43.33191,-95.165002
297,"Milo, IA",82,,
298,"Mingo, IA",12,,
299,"Missoui Valley, IA",12,,
300,"Missouri Valley, IA",25,41.506959226949185,-95.99617450065986
301,"Mitchellville, IA",128,41.640826000000004,-93.348533
